"","Species","Genus","Family","meanWD","WD_level","IUCN"
"72","Pentadesma_butyracea","Pentadesma","Clusiaceae",0.682833333333333,"genus","LC"
"73","Sacoglottis_gabonensis","Sacoglottis","Humiriaceae",0.774920634920635,"genus","LC"
"74","Scytopetalum_tieghemii","Scytopetalum","Lecythidaceae",0.625,"genus","LC"
"75","Spondianthus_preussi","Spondianthus","Phyllanthaceae",0.645,"genus","LC"
"76","Uapaca_guineensis","Uapaca","Phyllanthaceae",0.626341558441558,"genus","LC"
"77","Celtis_africana","Celtis","Cannabaceae",0.566228571428571,"genus",NA
"78","Uvariopsis_congensis","Uvariopsis","Annonaceae",0.595714885285868,"dataset","LC"
"79","Aframomum_leptolepis","Aframomum","Zingiberaceae",0.595714885285868,"dataset","LC"
"80","Gambeya_boukokoensis","Gambeya","Sapotaceae",0.595714885285868,"dataset",NA
"81","Uapaca_acuminata","Uapaca","Phyllanthaceae",0.626341558441558,"genus",NA
"82","Uapaca_uanhouttei","Uapaca","Phyllanthaceae",0.626341558441558,"genus",NA
"83","Biancaea_decapetala","Biancaea","Fabaceae",0.595714885285868,"dataset","LC"
"84","Funtumia_africana","Funtumia","Apocynaceae",0.424,"genus","LC"
"85","Musanga_leo-errerae","Musanga","Urticaceae",0.242833333333333,"genus","VU"
"86","Palisota_mannii","Palisota","Commelinaceae",0.595714885285868,"dataset",NA
"87","Alafia_landolphioides","Alafia","Apocynaceae",0.595714885285868,"dataset",NA
"88","Alstonia_boonei","Alstonia","Apocynaceae",0.46399,"genus","LC"
"89","Antiaris_toxicaria","Antiaris","Moraceae",0.381526315789474,"genus","LC"
"90","Bischofia_javanica","Bischofia","Phyllanthaceae",0.56985,"genus","LC"
"91","Casearia_battiscombei","Casearia","Salicaceae",0.624615384615385,"genus",NA
"92","Celtis_zenkeri","Celtis","Cannabaceae",0.566228571428571,"genus","LC"
"93","Gambeya_albida","Gambeya","Sapotaceae",0.595714885285868,"dataset","NT"
"94","Cordia_millenii","Cordia","Boraginaceae",0.542470421245421,"genus","LC"
"95","Croton_macrostachyus","Croton","Euphorbiaceae",0.510402666666667,"genus","LC"
"96","Cynometra_alexandri","Cynometra","Fabaceae",0.812257291666667,"genus","LC"
"97","Dracaena_fragrans","Dracaena","Asparagaceae",0.41825,"genus","LC"
"98","Ficus_lingua","Ficus","Moraceae",0.405534661835749,"genus",NA
"99","Ficus_lutea","Ficus","Moraceae",0.405534661835749,"genus","LC"
"100","Ficus_natalensis","Ficus","Moraceae",0.405534661835749,"genus",NA
"101","Ficus_sansibarica","Ficus","Moraceae",0.405534661835749,"genus",NA
"102","Ficus_sur","Ficus","Moraceae",0.405534661835749,"genus",NA
"103","Funtumia_elastica","Funtumia","Apocynaceae",0.424,"genus","LC"
"104","Harungana_madagascariensis","Harungana","Asteraceae",0.467,"genus","LC"
"105","Manilkara_butugi","Manilkara","Sapotaceae",0.885127236652237,"genus",NA
"106","Mildbraediodendron_excelsum","Mildbraediodendron","Fabaceae",0.595714885285868,"dataset","LC"
"107","Mimulopsis_solmsii","Mimulopsis","Acanthaceae",0.595714885285868,"dataset",NA
"108","Morus_mesozygia","Morus","Moraceae",0.591486111111111,"genus",NA
"109","Musa_paradisiaca","Musa","Musaceae",0.595714885285868,"dataset",NA
"110","Psidium_guajava","Psidium","Myrtaceae",0.855277777777778,"genus","LC"
"111","Solanum_mauritianum","Solanum","Solanaceae",0.411857142857143,"genus",NA
"112","Trilepisium_madagascariense","Trilepisium","Moraceae",0.499,"genus",NA
"113","Vepris_nobilis","Vepris","Rutaceae",0.659,"genus","LC"
"114","Cissus_dinklagei","Cissus","Vitaceae",0.595714885285868,"dataset",NA
"115","Gambeya_lacourtiana","Gambeya","Sapotaceae",0.595714885285868,"dataset","LC"
"116","Cissus_producta","Cissus","Vitaceae",0.595714885285868,"dataset",NA
"117","Drypetes_chevalieri","Drypetes","Putranjivaceae",0.69451282051282,"genus",NA
"118","Microcos_africana","Microcos","Malvaceae",0.481871794871795,"genus","LC"
"119","Hexalobus_crispiflorus","Hexalobus","Annonaceae",0.573333333333333,"genus","LC"
"120","Plagiostyles_africana","Plagiostyles","Euphorbiaceae",0.741333333333333,"genus","LC"
"121","Psychotria_camptopus","Psychotria","Rubiaceae",0.5636,"genus",NA
"122","Santiria_trimera","Santiria","Burseraceae",0.5813,"genus","LC"
"123","Strombosia_grandifolia","Strombosia","Olacaceae",0.721306547619048,"genus",NA
"124","Synsepalum_stipulatum","Synsepalum","Sapotaceae",0.6775,"genus","LC"
"125","Allophylus_kiwuensis","Allophylus","Sapindaceae",0.51775,"genus",NA
"126","Canthium_oligocarpum","Canthium","Rubiaceae",0.636677777777778,"genus","VU"
"127","Carduus_schimperi","Carduus","Compositae",0.595714885285868,"dataset",NA
"128","Casuarina_equisetifolia","Casuarina","Casuarinaceae",0.830775,"genus","LC"
"129","Cynodon_dactylon","Cynodon","Poaceae",0.595714885285868,"dataset",NA
"130","Cyphostemma_adenocaule","Cyphostemma","Vitaceae",0.595714885285868,"dataset",NA
"131","Deschampsia_cespitosa","Deschampsia","Poaceae",0.595714885285868,"dataset",NA
"132","Embelia_schimperi","Embelia","Primulaceae",0.595714885285868,"dataset","LC"
"133","Galiniera_saxifraga","Galiniera","Rubiaceae",0.595714885285868,"dataset","LC"
"134","Hordeum_vulgare","Hordeum","Poaceae",0.595714885285868,"dataset","LC"
"135","Ilex_mitis","Ilex","Aquifoliaceae",0.5627,"genus","LC"
"136","Jasminum_abyssinicum","Jasminum","Oleaceae",0.595714885285868,"dataset",NA
"137","Juniperus_procera","Juniperus","Cupressaceae",0.485,"genus","LC"
"138","Lagenaria_abyssinica","Lagenaria","Cucurbitaceae",0.595714885285868,"dataset",NA
"139","Maesa_lanceolata","Maesa","Primulaceae",0.676,"genus","LC"
"140","Poa_infirma","Poa","Poaceae",0.595714885285868,"dataset",NA
"141","Psychotria_orophila","Psychotria","Rubiaceae",0.5636,"genus",NA
"142","Rubus_apetalus","Rubus","Rosaceae",0.35,"genus",NA
"143","Solanum_etuberosum","Solanum","Solanaceae",0.411857142857143,"genus","LC"
