"","X","Animal_Species","Animal_Species_Corrected","Animal_Family","Animal_Taxa_Type","Plant_Species","Plant_Species_Corrected","Plant_Family","Plant_Life_Form","Plant_Part_Exploited","Interaction_Type","Data_Collection","Study_Site","Lat","Long","Study_ID","Genus","spp","Interaction","meanWD","sdWD"
"20","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Entandophragma cylindricum","Entandophragma_cylindricum","Meliaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Entandophragma","cylindricum",NA,0.594346097689909,0.123401724247162
"21","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Eriocoelum macrocarpum","Eriocoelum_macrocarpum","Sapindaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Eriocoelum","macrocarpum",NA,0.523,0.0941339098036177
"22","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Erythrophloem suaveolens","Erythrophleum_lasianthum","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Erythrophleum","lasianthum",NA,0.808748214285714,0.0941339098036177
"24","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Ficus dekdekena","Ficus_thonningii","Moraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Ficus","thonningii",NA,0.405534661835749,0.0941339098036177
"25","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Funtumia elastica","Funtumia_elastica","Apocynaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Funtumia","elastica",NA,0.424,0.0941339098036177
"26","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Polyalthia suaveolens","Greenwayodendron_suaveolens","Annonaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Greenwayodendron","suaveolens",NA,0.565580530764063,0.123401724247162
"27","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Guarea cedrata","Leplaea_cedrata","Meliaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Guarea","cedrata",NA,0.607288888888889,0.0941339098036177
"28","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Guarea thompsonii","Guarea_thompsonii","Meliaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Guarea","thompsonii",NA,0.607288888888889,0.0941339098036177
"29","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Heisteria zimmereri","Heisteria_zimmereri","Olacaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Heisteria","zimmereri",NA,0.69625,0.0941339098036177
"30","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Hylodendron gabonense","Hylodendron_gabunense","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Hylodendron","gabunense",NA,0.787,0.0941339098036177
