"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Dialium_eurysepalum","Dialium","Plant_355","Family_38"
"Dialium_excelsum","Dialium","Plant_356","Family_38"
"Dialium_guineense","Dialium","Plant_357","Family_38"
"Dialium_lopense","Dialium","Plant_358","Family_38"
"Dialium_pachyphyllum","Dialium","Plant_359","Family_38"
"Dialium_soyauxii","Dialium","Plant_360","Family_38"
"Dialium_tessmannii","Dialium","Plant_361","Family_38"
"Dialium_zenkeri","Dialium","Plant_362","Family_38"
"Dichrostachys_cinerea","Dichrostachys","Plant_363","Family_38"
"Dioclea_reflexa","Dioclea","Plant_364","Family_38"
"Erythrophleum_africanum","Erythrophleum","Plant_365","Family_38"
"Erythrophleum_ivorense","Erythrophleum","Plant_366","Family_38"
"Erythrophleum_lasianthum","Erythrophleum","Plant_367","Family_38"
"Erythrophleum_suaveolens","Erythrophleum","Plant_368","Family_38"
"Guibourtia_demeusei","Guibourtia","Plant_369","Family_38"
"Guibourtia_ehie","Guibourtia","Plant_370","Family_38"
"Guibourtia_tessmannii","Guibourtia","Plant_371","Family_38"
"Haplormosia_monophylla","Haplormosia","Plant_372","Family_38"
"Hylodendron_gabunense","Hylodendron","Plant_373","Family_38"
"Indigofera_colutea","Indigofera","Plant_374","Family_38"
"Indigofera_dendroides","Indigofera","Plant_375","Family_38"
"Leucaena_leucocephala","Leucaena","Plant_376","Family_38"
"Mildbraediodendron_excelsum","Mildbraediodendron","Plant_377","Family_38"
"Millettia_drastica","Millettia","Plant_378","Family_38"
"Millettia_dura","Millettia","Plant_379","Family_38"
"Millettia_versicolor","Millettia","Plant_380","Family_38"
"Newtonia_buchananii","Newtonia","Plant_381","Family_38"
"Pachyelasma_tessmannii","Pachyelasma","Plant_382","Family_38"
"Parkia_bicolor","Parkia","Plant_383","Family_38"
"Parkia_biglobosa","Parkia","Plant_384","Family_38"
"Parkia_clappertonia","Parkia","Plant_385","Family_38"
"Parkia_filicoidea","Parkia","Plant_386","Family_38"
"Pentaclethra_eetveldeana","Pentaclethra","Plant_387","Family_38"
"Piliostigma_thonningii","Piliostigma","Plant_388","Family_38"
"Piptadeniastrum_africanum","Piptadeniastrum","Plant_389","Family_38"
"Plagiosiphon_emarginatus","Plagiosiphon","Plant_390","Family_38"
"Prosopis_africana","Prosopis","Plant_391","Family_38"
"Schnella_microstachya","Schnella","Plant_392","Family_38"
"Scorodophloeus_zenkeri","Scorodophloeus","Plant_393","Family_38"
"Senegalia_nigrescens","Senegalia","Plant_394","Family_38"
"Tamarindus_indica","Tamarindus","Plant_395","Family_38"
"Tephrosia_pumila","Tephrosia","Plant_396","Family_38"
"Tephrosia_stormsii","Tephrosia","Plant_397","Family_38"
"Tessmannia_africana","Tessmannia","Plant_398","Family_38"
"Tetrapleura_chevalieri","Tetrapleura","Plant_399","Family_38"
"Tetrapleura_tetraptera","Tetrapleura","Plant_400","Family_38"
"Tylosema_fassoglense","Tylosema","Plant_401","Family_38"
"Vachellia_robusta","Vachellia","Plant_402","Family_38"
"Vachellia_xanthophloea","Vachellia","Plant_403","Family_38"
"Vigna_friesiorum","Vigna","Plant_404","Family_38"
"Vigna_frutescens","Vigna","Plant_405","Family_38"
"Vigna_vexillata","Vigna","Plant_406","Family_38"
"Vinga_unguiculata","Vinga","Plant_407","Family_38"
"Xylia_evansii","Xylia","Plant_408","Family_38"
"Bersama_abyssinica","Bersama","Plant_409","Family_39"
"Anthocleista_djalonensis","Anthocleista","Plant_410","Family_40"
"Anthocleista_nobilis","Anthocleista","Plant_411","Family_40"
"Anthocleista_procera","Anthocleista","Plant_412","Family_40"
"Anthocleista_schweinfurthii","Anthocleista","Plant_413","Family_40"
"Anthocleista_vogelii","Anthocleista","Plant_414","Family_40"
"Sacoglottis_gabonensis","Sacoglottis","Plant_415","Family_41"
"Harungana_madagascariensis","Harungana","Plant_416","Family_42"
"Harungana_montana","Harungana","Plant_417","Family_42"
"Hypericum_revolutum","Hypericum","Plant_418","Family_42"
"Psorospermum_tenuifolium","Psorospermum","Plant_419","Family_42"
"Vismia_guineensis","Vismia","Plant_420","Family_42"
"Vismia_rubescens","Vismia","Plant_421","Family_42"
"Pyrenacantha_kaurabassana","Pyrenacantha","Plant_422","Family_43"
"Desbordesia_glaucescens","Desbordesia","Plant_423","Family_44"
"Irvingia_excelsa","Irvingia","Plant_424","Family_44"
"Irvingia_gabonensis","Irvingia","Plant_425","Family_44"
"Irvingia_grandifolia","Irvingia","Plant_426","Family_44"
"Irvingia_robur","Irvingia","Plant_427","Family_44"
"Irvingia_smithii","Irvingia","Plant_428","Family_44"
"Irvingia_wombolu","Irvingia","Plant_429","Family_44"
"Klainedoxa_gabonensis","Klainedoxa","Plant_430","Family_44"
"Klainedoxa_trillesii","Klainedoxa","Plant_431","Family_44"
"Phyllocosmus_africanus","Phyllocosmus","Plant_432","Family_45"
"Hoslundia_opposita","Hoslundia","Plant_433","Family_46"
"Premna_angolensis","Premna","Plant_434","Family_46"
"Vitex_barbata","Vitex","Plant_435","Family_46"
"Vitex_ciliata","Vitex","Plant_436","Family_46"
"Vitex_doniana","Vitex","Plant_437","Family_46"
"Vitex_ferruginea","Vitex","Plant_438","Family_46"
"Vitex_grandifolia","Vitex","Plant_439","Family_46"
"Vitex_micrantha","Vitex","Plant_440","Family_46"
"Vitex_rivularis","Vitex","Plant_441","Family_46"
"Vitex_welwitchii","Vitex","Plant_442","Family_46"
"Beilschmiedia_corbisieri","Beilschmiedia","Plant_443","Family_47"
"Beilschmiedia_fulva","Beilschmiedia","Plant_444","Family_47"
