"","Species","Genus","Family","Body_Mass","Generation_Length","IUCN_Status","Habitat","Taxa"
"78","Columba_sjostedti","Columba","Columbidae",300,3.8,"LC","Forest","Large_birds"
"79","Columba_unicincta","Columba","Columbidae",400,5.6,"LC","Forest","Large_birds"
"80","Corythaeola_cristata","Corythaeola","Musophagidae",1000,3.3,"LC","Forest","Large_birds"
"81","Cossypha_heuglini","Cossypha","Muscicapidae",35,7,"LC","Mixed","Small_birds"
"82","Cricetomys_emini","Cricetomys","Nesomyidae",800,2.5,"LC","Forest","Rodents"
"83","Cricetomys_gambianus","Cricetomys","Nesomyidae",1750,2.889739167,"LC","Mixed","Rodents"
"84","Criniger_barbatus","Criniger","Pycnonotidae",40,3.5,"LC","Forest","Small_birds"
"85","Criniger_calurus","Criniger","Pycnonotidae",30,3.5,"LC","Forest","Small_birds"
"86","Criniger_ndussumensis","Criniger","Pycnonotidae",27,3.5,"LC","Forest","Small_birds"
"87","Crithagra_dorsostriata","Crithagra","Fringillidae",16,3.8,"LC","Mixed","Small_birds"
"88","Crithagra_mozambica","Crithagra","Fringillidae",11,4,"LC","Mixed","Small_birds"
"89","Cuculus_clamosus","Cuculus","Cuculidae",80,7,"LC","Mixed","Small_birds"
"90","Cyanomitra_olivacea","Cyanomitra","Nectariniidae",10,3.6,"LC","Mixed","Small_birds"
"91","Cyanomitra_verticalis","Cyanomitra","Nectariniidae",12,3.5,"LC","Mixed","Small_birds"
"92","Deomys_ferrugineus","Deomys","Muridae",70,1.5,"LC","Mixed","Rodents"
"93","Dyaphorophyia_castanea","Dyaphorophyia","Platysteiridae",14,6.4,"LC","Forest","Small_birds"
"94","Eidolon_helvum","Eidolon","Pteropodidae",300,5,"NT","Mixed","Bats"
"95","Elminia_longicauda","Elminia","Stenostiridae",10,3.6,"LC","Mixed","Small_birds"
"96","Epixerus_ebii","Epixerus","Sciuridae",600,3.4,"LC","Forest","Rodents"
"97","Epomophorus_gambianus","Epomophorus","Pteropodidae",80,6.527379836,"LC","Mixed","Bats"
"98","Epomophorus_labiatus","Epomophorus","Pteropodidae",63,4.316085758,"LC","Mixed","Bats"
"99","Epomophorus_minor","Epomophorus","Pteropodidae",80,4.316085758,"LC","Mixed","Bats"
"100","Epomophorus_wahlbergi","Epomophorus","Pteropodidae",80,4.316085758,"LC","Mixed","Bats"
"101","Epomops_buettikoferi","Epomops","Pteropodidae",134,6.527379836,"LC","Mixed","Bats"
"102","Epomops_dobsonii","Epomops","Pteropodidae",134,6.527379836,"LC","Mixed","Bats"
"103","Epomops_franqueti","Epomops","Pteropodidae",119,6.527379836,"LC","Mixed","Bats"
"104","Eremomela_turneri","Eremomela","Cisticolidae",7,3.6,"NT","Forest","Small_birds"
"105","Erythrocebus_patas","Erythrocebus","Cercopithecidae",7000,10,"NT","Mixed","Monkeys"
"106","Estrilda_nonnula","Estrilda","Estrildidae",8,3.8,"LC","Mixed","Small_birds"
"107","Eurillas_ansorgei","Eurillas","Pycnonotidae",20,3.7,"LC","Forest","Small_birds"
"108","Eurillas_curvirostris","Eurillas","Pycnonotidae",25,3.7,"LC","Forest","Small_birds"
